gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Actual_Churn,Predicted_Churn,Churn_Probability
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,1520.1,0,0,0.03
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1,1,0.71
1,0,1,0,50,1,2,1,0,0,0,2,2,2,1,0,2,99.4,5059.75,0,0,0.24
0,0,0,0,61,1,2,0,0,2,2,2,2,2,2,0,1,88.65,5321.25,0,0,0.02
1,1,1,0,11,1,0,1,0,0,0,0,0,0,0,1,2,70.2,834.7,0,1,0.54
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.55,84.4,0,0,0.35
0,1,0,0,64,1,2,0,0,2,2,2,0,2,0,0,1,74.65,4869.35,0,0,0.26
0,0,0,0,18,0,1,0,2,2,0,2,0,0,1,1,3,40.2,711.95,0,0,0.06
0,0,1,0,45,1,2,2,1,1,1,1,1,1,2,0,3,25.5,1121.05,0,0,0.0
1,0,1,1,31,1,2,0,0,0,0,0,0,2,0,0,0,59.7,1825.5,0,0,0.09
0,0,1,1,61,1,2,2,1,1,1,1,1,1,2,1,3,24.1,1551.6,0,0,0.0
0,1,0,0,31,1,0,1,2,0,0,0,0,0,0,1,1,73.55,2094.65,0,1,0.53
0,0,1,0,57,1,0,2,1,1,1,1,1,1,2,0,0,19.9,1115.6,0,0,0.0
0,0,1,1,28,1,2,1,0,0,0,2,0,2,1,1,2,90.45,2509.25,0,0,0.23
1,0,0,0,37,1,0,0,2,2,2,2,0,0,2,0,0,65.6,2313.8,0,0,0.09
0,0,1,0,46,1,2,1,0,2,0,2,2,2,1,1,2,103.15,4594.65,0,0,0.19
0,0,0,0,19,1,0,2,1,1,1,1,1,1,0,0,3,19.9,367.55,0,0,0.02
0,0,0,0,63,1,0,2,1,1,1,1,1,1,2,1,3,20.6,1298.7,0,0,0.02
1,0,0,1,69,1,2,0,2,2,2,2,2,0,2,1,1,79.45,5502.55,0,0,0.04
0,0,1,1,19,1,2,1,0,0,0,2,0,2,1,1,0,89.35,1686.85,0,0,0.18
0,0,1,0,31,1,0,1,0,2,0,0,0,2,0,1,0,83.85,2674.15,0,1,0.56
0,1,0,0,18,1,0,2,1,1,1,1,1,1,1,0,0,20.35,369.6,0,0,0.0
0,0,0,0,44,1,2,0,0,0,0,0,0,0,0,1,3,50.15,2139.1,0,0,0.26
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,70.3,1,1,0.553
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,89.9,1,1,0.9
0,0,0,0,11,0,1,0,0,0,0,0,2,0,0,1,3,35.8,363.15,0,0,0.48
0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,20.85,450.65,0,0,0.01
1,0,1,0,23,1,2,1,0,2,2,0,0,0,0,0,2,84.25,1968.1,0,0,0.46
0,0,0,0,37,1,0,1,0,2,2,0,0,0,1,0,2,80.05,3019.1,0,0,0.07
1,0,1,0,46,0,1,0,2,0,2,2,0,0,2,0,1,40.4,1842.7,0,0,0.01
0,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,1,19.35,433.75,0,0,0.02
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,50.8,50.8,1,0,0.47
0,0,1,1,58,1,2,0,2,0,2,2,2,0,2,0,3,75.8,4415.75,0,0,0.01
0,0,1,1,71,1,2,1,2,2,2,2,0,0,1,1,1,95.15,6770.85,0,0,0.09
0,0,0,0,29,1,2,0,0,0,0,0,2,2,1,1,1,71.0,2080.1,0,0,0.1
0,0,1,0,64,1,2,0,2,2,2,2,0,2,2,1,3,81.3,5129.3,0,0,0.01
1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.65,73.65,1,1,0.8
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.05,20.05,1,0,0.09
1,0,1,1,70,0,1,0,0,2,2,2,2,2,1,0,2,60.35,4138.7,0,0,0.11
1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0,0,0,0.0
1,0,0,0,57,0,1,0,0,2,0,0,2,0,0,1,2,39.3,2111.45,1,0,0.26
0,1,0,0,57,1,2,1,2,0,2,2,0,2,2,0,1,101.3,5779.6,0,0,0.05
0,0,1,1,6,1,0,2,1,1,1,1,1,1,2,0,3,20.1,100.35,0,0,0.0
1,1,1,0,63,0,1,0,2,0,0,2,0,0,1,0,0,36.1,2298.9,0,0,0.05
0,0,0,0,8,1,0,2,1,1,1,1,1,1,0,0,3,19.2,156.85,0,0,0.14
1,0,1,1,23,1,2,0,0,0,0,0,0,0,1,1,1,48.35,1067.15,1,0,0.03
0,0,0,0,40,1,0,0,0,0,2,0,0,0,1,1,3,50.25,2023.55,0,0,0.11
0,0,1,1,59,1,2,2,1,1,1,1,1,1,2,0,3,25.45,1534.05,0,0,0.0
0,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,407.05,0,0,0.0
1,0,0,0,17,1,0,1,0,2,2,0,0,2,0,1,1,90.95,1612.2,0,0,0.5
1,1,0,0,46,1,0,1,2,0,0,0,0,2,0,0,2,85.0,3969.4,1,0,0.36
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4,0,0,0.04
1,0,0,0,22,1,2,1,0,0,0,0,0,2,0,0,2,83.05,1799.3,0,0,0.39
0,0,1,0,62,1,0,0,2,0,2,2,2,2,2,0,3,81.0,4985.9,0,0,0.01
1,0,1,0,56,0,1,0,0,0,2,2,2,2,1,1,0,54.05,2959.8,0,0,0.22
0,1,1,0,5,1,2,1,0,2,0,0,0,0,0,1,2,81.0,371.65,1,1,0.83
0,0,1,0,72,1,2,0,2,2,0,2,2,2,2,1,0,86.4,6058.95,0,0,0.01
0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,2,45.15,416.45,1,0,0.26
1,0,1,0,66,1,2,1,2,2,2,2,2,2,1,0,0,115.8,7942.15,0,0,0.34
1,0,1,0,28,1,2,1,0,2,2,0,2,0,0,0,1,96.6,2684.35,0,0,0.36
0,0,1,1,56,1,0,1,0,0,0,0,2,2,1,0,0,88.9,4968.0,0,0,0.14
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.85,45.85,1,0,0.26
1,1,0,0,24,1,2,1,0,2,2,0,2,2,0,1,1,102.95,2496.7,1,1,0.63
0,0,0,0,51,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1020.75,0,0,0.01
1,0,1,1,4,1,0,0,0,0,0,2,0,2,0,0,1,61.45,229.55,1,0,0.27
1,0,1,1,23,1,2,0,0,2,0,2,0,0,2,0,3,59.7,1414.2,0,0,0.04
0,0,1,1,30,1,0,1,0,0,2,0,0,2,1,0,2,86.45,2538.05,0,0,0.31
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0,0,0,0.03
0,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,1,20.9,689.35,0,0,0.0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,69.6,1,1,0.998
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.35,76.35,1,0,0.06
1,0,0,0,14,1,0,1,0,0,2,0,0,0,0,0,2,76.45,1117.55,0,1,0.53
0,0,1,0,50,1,2,1,2,0,2,0,2,2,1,1,3,104.4,5232.9,0,0,0.33
1,0,0,0,6,1,0,1,0,0,0,0,0,0,0,1,2,69.1,435.0,0,1,0.64
0,0,0,1,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55,1,0,0.44
0,0,1,0,54,1,2,0,0,0,0,0,2,2,1,1,1,70.15,3715.65,1,0,0.14
1,1,0,0,52,1,2,1,0,2,2,2,2,2,0,1,2,110.75,5832.0,0,0,0.49
0,0,0,0,30,1,2,1,0,2,0,0,2,2,0,1,2,100.2,2983.8,1,1,0.64
1,0,1,1,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15,1,1,0.56
1,0,1,1,31,1,0,0,0,0,2,2,0,0,0,0,3,54.35,1647.0,0,0,0.22
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,0,0.46
0,0,1,1,72,0,1,0,0,2,2,2,2,2,2,1,2,60.0,4264.0,0,0,0.03
1,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,2,51.55,765.5,1,0,0.19
0,0,0,0,14,1,0,0,2,0,0,2,0,0,1,0,3,55.7,795.15,0,0,0.03
0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,74.45,74.45,1,1,0.74
1,0,1,1,60,1,2,2,1,1,1,1,1,1,1,0,1,23.95,1506.4,0,0,0.01
1,0,1,1,21,1,0,2,1,1,1,1,1,1,1,0,3,19.8,350.1,0,0,0.0
1,1,1,0,33,1,2,1,0,2,0,0,2,2,0,1,0,100.6,3270.25,0,1,0.59
1,0,1,0,65,1,2,1,2,2,2,0,0,0,1,0,2,89.75,5769.6,1,0,0.1
1,1,1,0,67,1,0,0,2,2,0,2,0,0,1,1,0,60.95,4119.4,0,0,0.03
0,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,84.45,762.5,1,1,0.88
1,1,1,1,28,1,2,0,0,0,0,0,0,0,1,1,2,51.0,1381.8,0,0,0.08
0,0,1,1,32,1,2,1,0,2,0,0,2,2,0,1,2,98.85,3089.6,0,1,0.57
1,0,1,1,68,1,0,1,2,2,2,0,2,2,2,1,1,103.25,7074.4,0,0,0.05
0,0,1,0,26,1,2,0,2,2,2,2,2,2,1,1,1,90.1,2312.55,0,0,0.2
0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,3,44.3,134.5,1,0,0.18
1,0,1,1,69,1,2,2,1,1,1,1,1,1,2,1,0,26.0,1796.55,0,0,0.01
1,0,1,0,36,1,2,1,0,0,0,0,2,2,0,1,0,95.0,3440.25,0,1,0.57
1,0,0,0,52,1,0,0,2,2,0,0,2,0,2,1,1,63.25,3342.45,0,0,0.04
0,1,1,0,34,1,0,0,0,0,2,2,2,0,1,0,0,64.2,2106.3,0,0,0.08
0,0,1,0,50,1,2,1,2,2,0,2,2,2,1,0,2,108.55,5610.7,1,0,0.39
1,1,1,0,30,1,2,0,0,0,2,0,2,2,2,0,2,74.85,2181.75,0,0,0.15
0,0,1,1,69,1,2,2,1,1,1,1,1,1,2,1,0,25.6,1673.4,0,0,0.0
0,0,1,0,4,1,2,1,0,2,0,0,2,0,0,1,2,91.65,365.4,1,1,0.78
0,0,1,1,67,1,0,1,2,2,2,0,0,0,1,0,0,84.8,5598.3,0,0,0.04
0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,1,71.0,914.0,1,0,0.25
0,0,1,0,53,1,0,2,1,1,1,1,1,1,1,0,0,20.8,1021.8,1,0,0.0
1,1,1,0,72,1,2,1,0,2,2,2,2,2,2,1,0,109.75,7932.5,0,0,0.12
1,0,0,0,46,1,0,2,1,1,1,1,1,1,2,0,2,19.95,907.05,0,0,0.04
0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1326.35,0,0,0.0
1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,3,78.85,1600.25,0,0,0.42
0,0,1,0,17,1,2,1,2,0,0,0,0,0,0,0,2,78.9,1348.95,0,0,0.5
1,1,0,0,32,1,2,1,0,0,0,0,2,2,0,1,1,96.15,3019.25,1,1,0.64
0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,2,69.05,651.5,0,1,0.54
0,0,0,0,23,1,2,2,1,1,1,1,1,1,1,0,1,24.8,615.35,0,0,0.01
1,0,1,0,47,1,0,0,0,2,2,0,2,2,2,0,2,73.6,3522.65,0,0,0.07
0,0,1,1,60,1,0,0,0,2,2,2,2,2,2,1,0,80.6,4946.7,0,0,0.02
1,0,1,1,50,0,1,0,2,0,0,0,2,0,0,1,1,39.45,2021.35,0,0,0.06
0,1,1,0,66,1,2,1,0,0,2,2,2,2,1,1,1,105.95,6975.25,1,0,0.16
1,1,1,0,54,1,2,1,0,2,2,2,2,2,2,1,2,110.45,6077.75,0,0,0.34
1,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,1,24.1,1734.65,0,0,0.0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,1,0.82
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,44.15,44.15,0,0,0.5
0,0,1,1,16,1,0,0,2,2,0,2,0,2,2,0,0,68.25,1114.85,0,0,0.03
0,0,0,0,34,1,2,0,0,0,0,2,2,0,0,0,3,65.0,2157.5,0,0,0.24
0,0,0,0,3,1,0,1,0,2,0,0,2,0,0,0,2,83.75,247.25,1,1,0.51
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,0,0.4
0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8,1,1,0.66
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,50.65,1,1,0.51
1,1,1,0,59,0,1,0,0,2,0,0,2,2,0,1,2,50.25,2997.45,0,1,0.58
1,0,0,0,26,1,2,1,0,0,0,2,0,0,0,1,2,80.5,2088.8,1,0,0.44
0,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1,0,20.3,20.3,0,1,0.6
1,0,1,1,71,1,0,1,2,2,2,0,2,2,1,1,0,104.65,7288.4,0,0,0.09
1,0,1,1,63,1,0,2,1,1,1,1,1,1,2,1,3,19.15,1177.05,0,0,0.04
0,0,1,1,18,1,0,2,1,1,1,1,1,1,0,0,3,20.45,357.0,0,0,0.03
0,0,0,1,14,1,2,1,2,0,0,2,0,0,0,1,3,86.0,1164.05,0,0,0.48
0,0,1,1,64,1,2,1,0,2,2,0,0,2,1,1,2,92.85,5980.75,0,0,0.19
0,0,1,0,56,1,2,1,2,0,0,0,2,2,1,1,2,98.0,5270.6,0,0,0.14
1,0,0,1,26,0,1,0,0,2,0,0,2,0,1,1,0,39.95,1023.75,0,0,0.12
1,0,0,0,54,1,0,0,2,2,0,0,2,0,2,1,0,65.3,3512.9,0,0,0.04
1,0,1,0,3,1,0,0,0,0,2,2,0,0,0,1,3,55.8,154.55,0,0,0.4
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7,62.25,1,1,0.86
0,0,1,0,40,1,2,1,0,0,0,2,0,0,0,1,1,78.85,3126.85,0,0,0.22
0,0,1,1,28,1,0,1,0,0,0,0,2,2,1,1,0,90.1,2598.95,1,0,0.2
1,0,1,0,22,1,0,1,2,2,0,2,2,2,0,1,2,104.6,2180.55,0,0,0.41
1,0,0,0,69,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1713.1,0,0,0.0
0,0,1,1,27,1,0,0,0,2,0,0,0,0,0,0,3,49.85,1336.15,0,0,0.07
0,0,1,0,71,0,1,0,2,2,2,2,2,2,1,0,0,66.8,4689.15,0,0,0.06
0,0,1,1,62,1,0,0,2,0,2,2,2,0,1,1,0,70.75,4263.45,0,0,0.05
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.3,19.3,0,1,0.65
1,0,1,1,37,1,0,2,1,1,1,1,1,1,2,0,0,19.8,726.1,0,0,0.02
0,0,1,0,49,0,1,0,0,2,0,2,2,2,1,1,1,56.3,2780.6,0,0,0.11
1,1,1,0,41,0,1,0,0,2,2,0,2,2,0,1,2,53.95,2215.4,0,1,0.61
0,0,0,0,63,1,2,1,2,2,2,0,2,2,0,0,1,108.25,6780.1,0,0,0.16
0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,88.25,1460.65,1,1,0.54
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.45,19.45,1,1,0.53
1,1,0,0,55,1,2,1,2,0,0,0,2,2,0,1,2,98.8,5617.75,1,0,0.32
0,0,1,0,22,1,0,1,0,0,0,0,0,0,0,1,2,69.25,1554.0,1,0,0.35
0,0,0,0,15,0,1,0,2,2,2,2,0,0,1,0,3,45.9,693.45,0,0,0.01
0,0,0,0,35,1,0,2,1,1,1,1,1,1,0,0,0,19.25,617.65,0,0,0.16
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,20.2,1,1,0.857
1,0,0,0,69,0,1,0,0,2,2,0,0,0,1,1,0,35.75,2492.25,0,0,0.12
0,0,1,0,63,1,2,1,0,2,0,0,0,0,0,1,0,81.55,5029.05,0,0,0.24
0,0,1,0,58,1,2,1,0,2,2,0,0,2,1,1,2,94.3,5610.15,0,0,0.23
1,0,0,0,66,1,2,2,1,1,1,1,1,1,1,0,0,25.45,1699.15,0,0,0.07
0,0,1,1,43,1,2,1,0,0,2,0,2,2,0,1,0,99.3,4209.95,0,0,0.35
0,0,1,1,26,0,1,0,2,2,0,2,0,0,0,0,1,38.85,1025.15,0,0,0.26
1,0,1,1,56,1,2,1,0,0,2,2,2,2,2,1,2,103.2,5873.75,0,0,0.21
1,1,0,0,68,1,2,1,0,2,2,0,0,2,0,1,2,95.9,6503.2,0,0,0.3
0,0,1,1,18,1,0,0,0,0,0,0,2,0,0,0,3,55.95,1082.8,0,0,0.16
0,0,1,0,34,1,2,0,2,2,0,2,0,0,0,0,2,62.65,2274.9,1,0,0.02
1,1,1,0,38,0,1,0,0,0,0,0,0,0,0,1,2,24.85,955.75,0,0,0.34
1,0,1,1,2,1,0,0,2,2,0,2,0,0,2,0,3,59.5,130.5,0,0,0.25
1,0,1,1,20,0,1,0,2,0,2,2,0,0,2,1,1,39.4,825.4,0,0,0.03
1,0,1,0,64,1,2,0,0,2,0,2,0,2,1,1,3,70.15,4480.7,0,0,0.05
1,1,0,1,56,1,0,1,2,0,0,0,2,2,1,0,1,94.8,5264.3,0,0,0.18
0,0,0,0,68,1,0,2,1,1,1,1,1,1,2,0,1,20.5,1424.9,0,0,0.0
1,0,1,0,17,1,2,1,0,2,2,0,2,2,0,1,2,102.55,1742.5,0,1,0.68
1,0,1,1,46,1,0,2,1,1,1,1,1,1,2,0,1,19.95,862.4,0,0,0.01
0,1,0,0,28,1,2,1,0,2,2,0,2,2,0,1,2,106.15,3152.5,1,0,0.45
1,0,1,1,2,1,2,0,2,0,0,0,0,0,0,0,3,56.7,113.55,1,0,0.27
1,0,0,0,65,1,2,1,0,2,2,2,2,2,0,1,2,109.15,6941.2,1,0,0.13
1,0,1,1,17,1,0,1,2,0,2,0,2,0,0,1,2,89.4,1539.45,1,0,0.33
1,1,0,0,51,1,0,1,0,0,2,0,2,2,1,1,0,94.0,4905.75,0,0,0.19
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,0,0.39
1,0,1,0,16,1,2,1,0,0,0,0,0,0,0,1,0,73.85,1284.2,1,0,0.47
1,1,1,0,24,1,2,1,2,0,0,0,0,0,0,1,2,78.85,1772.25,1,0,0.45
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,3,55.7,55.7,1,1,0.52
0,0,0,0,71,1,0,0,2,2,2,2,2,0,2,0,1,77.35,5550.1,0,0,0.03
0,0,1,1,53,1,2,1,2,2,2,2,0,2,2,1,0,104.05,5566.4,0,0,0.16
0,0,0,0,18,1,2,0,2,0,2,0,0,0,0,1,3,60.6,1156.35,0,0,0.29
0,0,0,1,67,1,2,1,0,2,0,2,2,2,1,1,0,106.6,7244.7,0,0,0.09
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45,1,1,0.97
1,0,0,0,10,0,1,0,0,0,2,0,0,0,0,0,3,29.5,255.25,1,0,0.35
1,0,1,1,43,1,2,2,1,1,1,1,1,1,2,0,3,24.25,1077.95,0,0,0.0
0,0,1,0,43,1,2,1,0,2,0,0,0,0,0,0,2,80.45,3398.9,0,0,0.31
0,0,0,0,60,0,1,0,2,0,2,0,2,2,2,0,2,53.6,3237.05,0,0,0.06
1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,2,75.9,75.9,1,1,0.56
1,0,0,0,7,1,2,1,0,0,2,0,2,0,0,1,2,90.45,593.45,1,1,0.79
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,0,0.46
1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,1,3,50.15,50.15,1,1,0.51
1,0,0,0,5,1,0,1,0,2,0,0,0,0,0,1,2,74.65,383.65,0,1,0.64
0,0,1,1,36,1,2,0,2,2,2,2,2,2,2,1,1,92.9,3379.25,0,0,0.02
1,1,1,0,53,1,2,0,2,0,0,2,0,0,1,1,2,60.05,3229.65,1,0,0.01
0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.45,74.45,1,1,0.85
0,0,0,0,53,1,0,1,0,2,2,2,0,2,1,1,1,94.45,5042.75,0,0,0.12
0,0,1,0,50,1,2,0,0,0,2,0,2,2,1,0,0,75.7,3876.2,0,0,0.06
1,0,1,0,66,1,2,1,0,2,0,2,2,2,1,1,2,104.05,6890.0,1,0,0.22
0,0,1,1,54,1,2,0,0,2,2,0,0,0,2,1,0,59.8,3246.45,0,0,0.02
0,0,1,1,28,1,0,2,1,1,1,1,1,1,0,1,0,19.55,543.8,0,0,0.13
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,3,45.3,196.95,1,0,0.28
0,0,0,0,41,1,2,1,2,2,2,2,2,2,0,1,0,114.5,4527.45,1,0,0.5
0,0,1,1,30,1,0,0,2,0,0,2,0,2,0,0,0,66.3,1923.5,0,0,0.1
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.2,25.2,1,1,0.92
1,0,1,0,54,1,2,1,2,2,2,0,2,2,0,0,2,109.55,6118.95,0,0,0.35
1,0,1,1,8,1,0,2,1,1,1,1,1,1,2,0,1,19.6,125.0,0,0,0.01
1,1,1,0,55,1,2,1,0,2,2,2,2,2,2,1,2,113.6,6292.7,0,0,0.39
0,0,0,1,63,1,0,2,1,1,1,1,1,1,2,0,1,19.5,1215.1,0,0,0.01
1,0,0,0,68,1,0,1,0,2,2,0,0,0,1,0,1,79.6,5461.45,0,0,0.09
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,2,71.65,135.75,0,1,0.57
1,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,20.6,116.6,0,0,0.01
0,0,0,0,13,1,2,1,0,0,0,0,0,0,0,1,3,75.0,999.45,1,0,0.45
1,0,0,0,72,1,0,0,2,2,2,2,2,0,2,1,0,75.1,5336.35,0,0,0.0
1,0,1,0,17,1,0,1,0,0,2,0,2,2,1,1,0,96.65,1588.25,0,0,0.28
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1,1,0.74
0,1,0,0,65,1,2,1,0,2,2,0,2,0,0,1,0,95.45,6223.3,0,0,0.43
1,0,0,0,58,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1131.5,0,0,0.0
1,1,1,1,68,1,2,1,0,2,2,0,0,0,0,1,2,84.65,5683.6,0,0,0.49
0,0,1,1,66,1,0,0,2,2,0,2,0,0,2,1,1,58.2,3810.8,0,0,0.05
0,1,1,0,70,1,2,1,2,0,0,0,0,2,0,1,2,90.85,6470.1,0,0,0.26
0,0,0,0,19,0,1,0,0,2,0,0,0,2,0,1,2,39.7,710.05,0,0,0.26
1,0,1,0,17,0,1,0,0,0,2,2,2,2,1,0,2,54.6,934.8,0,0,0.24
1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,2,100.75,2095.0,1,1,0.66
1,1,0,0,48,1,2,1,0,2,0,0,2,2,1,1,2,99.0,4744.35,0,0,0.31
